brand,article_title,article_url,publisher_domain,publisher_homepage,publish_date,sentiment,classification_source
Bảo Việt Nhân Thọ,"VietnamBizBảo Việt Nhân thọ bổ nhiệm Chủ tịch và Tổng Giám đốc mớiTừ 3/4, ông Nguyễn Quang Phi được bổ nhiệm giữ chức vụ Chủ tịch Hội đồng Thành viên Bảo Việt Nhân thọ trong khi đó bà Trần Thị Diệu Hằng được bổ nhiệm làm....2 ngày trước",https://vietnambiz.vn/bao-viet-nhan-tho-bo-nhiem-chu-tich-va-tong-giam-doc-moi-202646105744100.htm,vietnambiz.vn,https://vietnambiz.vn,10:58:00 06/04/2026,neutral,rules
Bảo Việt Nhân Thọ,"VietnamFinanceBảo Việt Nhân thọ có tân Chủ tịch HĐTV và Tổng Giám đốc(VNF) - Từ 3/4, ông Nguyễn Quang Phi được bổ nhiệm giữ chức vụ Chủ tịch Hội đồng Thành viên Bảo Việt Nhân thọ trong khi đó bà Trần Thị Diệu Hằng được bổ....2 ngày trước",https://vietnamfinance.vn/bao-viet-nhan-tho-dong-loat-thay-chu-tich-hdqt-va-tong-giam-doc-d142701.html,vietnamfinance.vn,https://vietnamfinance.vn,15:54:03 06/04/2026,neutral,rules
Bảo Việt Nhân Thọ,"nguoiquansat.vnBảo Việt Nhân thọ thay đổi nhân sự cấp cao, hoán đổi vị trí Chủ tịch và Tổng Giám đốcTheo thông tin từ Sở Giao dịch Chứng khoán TP. HCM (HoSE), Tổng Công ty Bảo Việt Nhân thọ vừa công bố quyết định thay đổi nhân sự cấp cao, trong đó hai vị....2 ngày trước",https://nguoiquansat.vn/404?r=https://nguoiquansat.vn/bao-viet-nhan-tho-thay-doi-nhan-su-cap-cao-hoan-doi-vi-tri-chu-tich-va-tong-giam-doc-284155.html#detail#a,nguoiquansat.vn,https://nguoiquansat.vn,07:00:00 16/06/2021,neutral,rules
Prudential Việt Nam,"Báo Thanh HóaPrudential Việt Nam công bố kết quả kinh doanh vững mạnh năm 2025Ngày 08/04/2026 tại Thành phố Hồ Chí Minh, công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam (“Prudential Việt Nam”) công bố kết quả tài chính cho năm kết....3 phút trước",https://baothanhhoa.vn/prudential-viet-nam-cong-bo-ket-qua-kinh-doanh-vung-manh-nam-2025-283951.htm,baothanhhoa.vn,https://baothanhhoa.vn,17:29:00 08/04/2026,neutral,rules
Manulife Việt Nam,"Báo Tuổi TrẻManulife Việt Nam chi trả hơn 9.000 tỉ đồng quyền lợi bảo hiểm cho khách hàng trong năm 2025Manulife Việt Nam vừa công bố báo cáo tài chính năm 2025 với kết quả kinh doanh tích cực. Trong năm, doanh nghiệp chi trả hơn 9.000 tỉ đồng quyền lợi bảo....3 giờ trước",https://tuoitre.vn/manulife-viet-nam-chi-tra-hon-9-000-ti-dong-quyen-loi-bao-hiem-cho-khach-hang-trong-nam-2025-20260408122654732.htm,tuoitre.vn,https://tuoitre.vn,14:50:24 08/04/2026,neutral,rules
Manulife Việt Nam,"baotintuc.vnNăm 2025, Manulife Việt Nam chi trả hơn 9.000 tỷ đồng quyền lợi bảo hiểm cho khách hàngManulife Việt Nam vừa công bố báo cáo tài chính năm 2025 với kết quả kinh doanh tích cực. Lợi nhuận trước thuế đạt hơn 3.545 tỷ đồng, doanh nghiệp tiếp tục....2 giờ trước",https://baotintuc.vn/doanh-nghiep-san-pham-dich-vu/nam-2025-manulife-viet-nam-chi-tra-hon-9000-ty-dong-quyen-loi-bao-hiem-cho-khach-hang-20260408143640525.htm,baotintuc.vn,https://baotintuc.vn,15:56:00 08/04/2026,neutral,rules
Manulife Việt Nam,theleader.vnManulife Việt Nam chi trả hơn 9.000 tỷ đồng quyền lợi bảo hiểmManulife Việt Nam tiếp tục khẳng định định hướng lấy khách hàng làm trọng tâm trong hoạt động vận hành và phát triển sản phẩm và dịch vụ..3 giờ trước,https://theleader.vn/manulife-viet-nam-chi-tra-hon-9000-ty-dong-quyen-loi-bao-hiem-d45291.html,theleader.vn,https://theleader.vn,14:27:53 08/04/2026,neutral,rules
Manulife Việt Nam,"Tin nhanh chứng khoánManulife Việt Nam chi trả hơn 9.000 tỷ đồng quyền lợi bảo hiểm cho khách hàng trong năm 2025(ĐTCK) Manulife Việt Nam vừa công bố báo cáo tài chính năm 2025 với kết quả kinh doanh tích cực, tiếp tục khẳng định định hướng lấy khách hàng làm trọng tâm....5 giờ trước",https://m.tinnhanhchungkhoan.vn/manulife-viet-nam-chi-tra-hon-9000-ty-dong-quyen-loi-bao-hiem-cho-khach-hang-trong-nam-2025-post388400.amp,m.tinnhanhchungkhoan.vn,https://m.tinnhanhchungkhoan.vn,12:05:26 08/04/2026,neutral,rules
Sun Life Việt Nam,"Vietnam.vnSun Life Việt Nam chiếm thị phần lớn bảo hiểm hưu trí tự nguyệnTrong năm 2025, Sun Life Việt Nam cho biết tiếp tục chiếm thị phần lớn mảng bảo hiểm hưu trí tự nguyện, duy trì tài chính an toàn và chiến lược đầu tư dài....6 ngày trước",https://www.vietnam.vn/sun-life-viet-nam-chiem-thi-phan-lon-bao-hiem-huu-tri-tu-nguyen,vietnam.vn,https://vietnam.vn,10:44:01 02/04/2026,neutral,rules
Generali Việt Nam,"Tin tức 24hGenerali vinh danh các tư vấn tài chính xuất sắc của kênh Hợp tác Phát triển Kinh doanhNgày 03/04 tại TP. Hồ Chí Minh, Generali Việt Nam tổ chức chương trình “Lion Pride – Kiêu hãnh Generali” nhằm tôn vinh các Tư vấn Tài chính tiêu biểu trên....3 ngày trước",https://www.24h.com.vn/doanh-nghiep/generali-vinh-danh-cac-tu-van-tai-chinh-xuat-sac-cua-kenh-hop-tac-phat-trien-kinh-doanh-c849a1750592.html,24h.com.vn,https://24h.com.vn,18:17:00 04/04/2026,neutral,rules
