brand,article_title,article_url,publisher_domain,publisher_homepage,publish_date,sentiment,classification_source
Sun Life Việt Nam,"congly.vnSun Life Việt Nam chi trả hơn 608 tỷ đồng quyền lợi bảo hiểm năm 2025Sun Life Việt Nam tiếp tục củng cố nền tảng tài chính khi chi trả hơn 608 tỷ đồng quyền lợi bảo hiểm trong năm 2025, đồng thời duy trì thị phần dẫn đầu ở....4 ngày trước",https://doanhnhan.congly.vn/sun-life-viet-nam-chi-tra-hon-608-ty-dong-quyen-loi-bao-hiem-nam-2025.html,congly.vn,https://congly.vn,09:45:22 04/04/2026,neutral,rules
Sun Life Việt Nam,"VnExpressQuỹ hưu trí tự nguyện của Sun Life đạt 4.500 tỷTổng tài sản quỹ hưu trí tự nguyện 2025 của Sun Life Việt Nam đạt gần 4.500 tỷ đồng, gồm đóng góp của khách hàng, doanh nghiệp và phần thu nhập đầu tư tích....5 ngày trước",https://vnexpress.net/quy-huu-tri-tu-nguyen-cua-sun-life-dat-4-500-ty-5057977.html,vnexpress.net,https://vnexpress.net,10:00:00 03/04/2026,neutral,rules
Sun Life Việt Nam,"Báo Tuổi TrẻSun Life Việt Nam chiếm thị phần lớn bảo hiểm hưu trí tự nguyệnTrong năm 2025, Sun Life Việt Nam cho biết tiếp tục chiếm thị phần lớn mảng bảo hiểm hưu trí tự nguyện, duy trì tài chính an toàn và chiến lược đầu tư dài....6 ngày trước",https://tuoitre.vn/sun-life-viet-nam-chiem-thi-phan-lon-bao-hiem-huu-tri-tu-nguyen-20260401165801926.htm,tuoitre.vn,https://tuoitre.vn,08:00:00 02/04/2026,neutral,rules
Sun Life Việt Nam,"Báo Dân tríSun Life giữ vị thế dẫn đầu về thị phần bảo hiểm hưu trí tự nguyện tại Việt Nam(Dân trí) - Trong năm 2025, Sun Life Việt Nam tiếp tục chiếm hơn 70% thị phần bảo hiểm hưu trí tự nguyện, đồng thời duy trì nền tảng tài chính an toàn và..6 ngày trước",https://dantri.com.vn/kinh-doanh/sun-life-giu-vi-the-dan-dau-ve-thi-phan-bao-hiem-huu-tri-tu-nguyen-tai-viet-nam-20260402101719437.htm,dantri.com.vn,https://dantri.com.vn,10:24:00 02/04/2026,neutral,rules
Sun Life Việt Nam,"Vietnam.vnSun Life Vietnam holds a large market share in voluntary retirement insurance.In 2025, Sun Life Vietnam stated that it will continue to hold a large market share in the voluntary retirement insurance segment, maintaining financial....6 ngày trước",https://www.vietnam.vn/en/sun-life-viet-nam-chiem-thi-phan-lon-bao-hiem-huu-tri-tu-nguyen,vietnam.vn,https://vietnam.vn,10:44:01 02/04/2026,neutral,rules
Chubb Life Việt Nam,"Báo Tuổi TrẻKhai trương văn phòng kinh doanh Infinity tại Quảng Ninh và Hưng YênTrong bối cảnh nhu cầu tiếp cận dịch vụ tư vấn tài chính tại địa phương ngày càng rõ nét, Công ty TNHH Bảo hiểm Nhân thọ Chubb Việt Nam (Chubb Life Việt....22 giờ trước",https://tuoitre.vn/khai-truong-van-phong-kinh-doanh-infinity-tai-quang-ninh-va-hung-yen-20260407171429779.htm,tuoitre.vn,https://tuoitre.vn,19:00:00 07/04/2026,neutral,rules
FWD Việt Nam,"Báo Thanh NiênFWD tài trợ 1 tỉ tái thiết môi trường học tập cho học sinh tỉnh Khánh HòaTập đoàn FWD, thông qua Quỹ Từ thiện Bông Hồng Nhỏ (Little Roses Foundation), đã trao tặng 76 bộ máy tính cho ba cơ sở giáo dục tại tỉnh Khánh Hòa,....1 giờ trước",https://thanhnien.vn/fwd-tai-tro-1-ti-tai-thiet-moi-truong-hoc-tap-cho-hoc-sinh-tinh-khanh-hoa-185260408155215402.htm,thanhnien.vn,https://thanhnien.vn,16:01:00 08/04/2026,neutral,rules
Dai-ichi Life Việt Nam,"Báo Thanh NiênTập đoàn Dai-ichi Life ra mắt tên gọi và bộ nhận diện thương hiệu mớiDai-ichi Life Holdings Inc., một trong những tập đoàn bảo hiểm nhân thọ hàng đầu Nhật Bản, chính thức đổi tên thành Daiichi Life Group Inc., đồng thời ra....4 ngày trước",https://thanhnien.vn/tap-doan-daiichi-life-ra-mat-ten-goi-va-bo-nhan-dien-thuong-hieu-moi-185260404112543356.htm,thanhnien.vn,https://thanhnien.vn,11:15:00 04/04/2026,neutral,rules
Dai-ichi Life Việt Nam,"Tin nhanh chứng khoánTập đoàn Dai-ichi Life ra mắt nhận diện thương hiệu mới, tái định nghĩa “Life” và tăng tốc hành trình phát triển toàn cầuDaiichi Life: Khi “Life” không chỉ là bảo hiểm, mà là hành trình cuộc sống. Trọng tâm của lần chuyển đổi này nằm ở việc tái định nghĩa khái niệm “Life”..4 ngày trước",https://www.tinnhanhchungkhoan.vn/tap-doan-dai-ichi-life-ra-mat-nhan-dien-thuong-hieu-moi-tai-dinh-nghia-life-va-tang-toc-hanh-trinh-phat-trien-toan-cau-post388143.html,tinnhanhchungkhoan.vn,https://tinnhanhchungkhoan.vn,09:39:36 04/04/2026,neutral,rules
AIA Việt Nam,"baodautuCập nhật giá đơn vị Quỹ liên kết đơn vị của AIA Việt Nam ngày 8/4/2026Giá đơn vị quỹ và Quỹ liên kết đơn vị được áp dụng cho dòng sản phẩm Bảo hiểm liên kết đơn vị, gồm sản phẩm bảo hiểm InvestA - Bảo hiểm liên kết đơn vị,....6 giờ trước",https://baodautu.vn/cap-nhat-gia-don-vi-quy-lien-ket-don-vi-cua-aia-viet-nam-ngay-842026-d563989.html,baodautu.vn,https://baodautu.vn,07:00:00 08/04/2026,neutral,rules
